id,idChampionship,name,generalName,idRound,round,idStadium,stadium_country,stadium,attendance,idTeamHome,teamHome,teamHomeSize,scoreTeamHome,penaltiesScoreTeamHome,idTeamAway,teamAway,teamAwaySize,scoreTeamAway,penaltiesScoreTeamAway,hasPenalties,gameDate,gameCanceled,createddate,source,resultado,resultadoPenalties,golsInter,golsAdversario
10335,1992_BR,Brasileirão 1992,Brasileirão,,,1,BR,Estádio Beira-Rio,,1,Internacional,X,1,,9,Fluminense,M,0,,,1992-02-17,0,2025-08-12,Perin,Vitória,,1,0
10336,1992_BR,Brasileirão 1992,Brasileirão,,,214,BR,AFLITOS,,26,Náutico,M,2,,1,Internacional,X,2,,,1992-02-20,0,2025-08-12,Perin,Derrota,,2,2
10337,1992_BR,Brasileirão 1992,Brasileirão,,,,,,,17,Goiás EC,M,1,,1,Internacional,X,2,,,1992-02-23,0,2025-08-12,Perin,Vitória,,2,1
10338,AMISTOSO,Amistoso,Amistoso,,,396,BR,ÍNDIO CONDÁ,,30,Chapecoense,M,3,,1,Internacional,X,2,,,1992-02-26,0,2025-08-12,Perin,Derrota,,2,3
10339,1992_BR,Brasileirão 1992,Brasileirão,,,1,BR,Estádio Beira-Rio,,1,Internacional,X,2,,202,ATLÉTICO MINEIRO,S,0,,,1992-03-08,0,2025-08-12,Perin,Vitória,,2,0
10340,1992_BR,Brasileirão 1992,Brasileirão,,,1,BR,Estádio Beira-Rio,,1,Internacional,X,1,,11,São Paulo,X,0,,,1992-03-11,0,2025-08-12,Perin,Vitória,,1,0
10341,1992_BR,Brasileirão 1992,Brasileirão,,,1,BR,Estádio Beira-Rio,,1,Internacional,X,2,,13,Cruzeiro,X,0,,,1992-03-16,0,2025-08-12,Perin,Vitória,,2,0
10342,AMISTOSO,Amistoso,Amistoso,,,136,BR,Estádio Olímpico Colosso da Lagoa,,352,YPIRANGA DE ERECHIM,S,2,,1,Internacional,X,1,,,1992-03-18,0,2025-08-12,Perin,Derrota,,1,2
10343,1992_BR,Brasileirão 1992,Brasileirão,,,1,BR,Estádio Beira-Rio,,1,Internacional,X,1,,15,EC Bahia,M,1,,,1992-03-23,0,2025-08-12,Perin,Empate,,1,1
10344,AMISTOSO,Amistoso,Amistoso,,,496,BR,SANTA ROSA,,119,Novo Hamburgo,S,0,,1,Internacional,X,3,,,1992-03-25,0,2025-08-12,Perin,Vitória,,3,0
10345,AMISTOSO,Amistoso,Amistoso,,,374,BR,GARIBALDI,,257,GUARANI DE GARIBALDI,S,1,,1,Internacional,X,1,,,1992-03-29,0,2025-08-12,Perin,Derrota,,1,1
10346,1992_BR,Brasileirão 1992,Brasileirão,,,541,BR,VILA BELMIRO,,16,Santos FC,X,4,,1,Internacional,X,0,,,1992-03-30,0,2025-08-12,Perin,Derrota,,0,4
10347,AMISTOSO,Amistoso,Amistoso,,,362,BR,FLORESTAL,,271,LAJEADENSE,S,0,,1,Internacional,X,1,,,1992-04-01,0,2025-08-12,Perin,Vitória,,1,0
10348,AMISTOSO,Amistoso,Amistoso,,,454,BR,NOVA PETRÓPOLIS,,448,LINHA BRASIL,S,1,,1,Internacional,X,5,,,1992-04-05,0,2025-08-12,Perin,Vitória,,5,1
10349,1992_BR,Brasileirão 1992,Brasileirão,,,,,,,255,GUARANI DE CAMPINAS,S,1,,1,Internacional,X,0,,,1992-04-05,0,2025-08-12,Perin,Derrota,,0,1
10350,1992_BR,Brasileirão 1992,Brasileirão,,,1,BR,Estádio Beira-Rio,,1,Internacional,X,1,,203,Atlético-PR,S,1,,,1992-04-16,0,2025-08-12,Perin,Empate,,1,1
10351,1992_BR,Brasileirão 1992,Brasileirão,,,430,BR,MANGUEIRÃO,,292,PAISSANDU,S,0,,1,Internacional,X,1,,,1992-04-19,0,2025-08-12,Perin,Vitória,,1,0
10352,AMISTOSO,Amistoso,Amistoso,,,358,BR,FELIZ,,443,JUVENTUS DE FELIZ,S,1,,1,Internacional,X,3,,,1992-04-21,0,2025-08-12,Perin,Vitória,,3,1
10353,AMISTOSO,Amistoso,Amistoso,,,382,BR,GRAVATAÍ,,383,CERÂMICA,S,1,,1,Internacional,X,3,,,1992-04-26,0,2025-08-12,Perin,Vitória,,3,1
10354,1992_BR,Brasileirão 1992,Brasileirão,,,444,BR,MORUMBI,,14,Corinthians,X,1,,1,Internacional,X,1,,,1992-04-26,0,2025-08-12,Perin,Derrota,,1,1
10355,1992_BR,Brasileirão 1992,Brasileirão,,,1,BR,Estádio Beira-Rio,,1,Internacional,X,0,,211,BOTAFOGO DO RIO,S,2,,,1992-05-02,0,2025-08-12,Perin,Derrota,,0,2
10356,AMISTOSO,Amistoso,Amistoso,,,,,,,36,Santa Cruz,S,2,,1,Internacional,X,1,,,1992-05-07,0,2025-08-12,Perin,Derrota,,1,2
10357,1992_BR,Brasileirão 1992,Brasileirão,,,75,BR,Estádio Jornalista Mário Filho,,18,Vasco da Gama,M,2,,1,Internacional,X,0,,,1992-05-10,0,2025-08-12,Perin,Derrota,,0,2
10358,AMISTOSO,Amistoso,Amistoso,,,523,BR,TRÊS COROAS,,460,MUNDO NOVO,S,0,,1,Internacional,X,7,,,1992-05-13,0,2025-08-12,Perin,Vitória,,7,0
10359,AMISTOSO,Amistoso,Amistoso,,,510,BR,SARANDI,,439,IPIRANGA DE SARANDI,S,1,,1,Internacional,X,1,,,1992-05-17,0,2025-08-12,Perin,Derrota,,1,1
10360,AMISTOSO,Amistoso,Amistoso,,,392,BR,IGREJINHA,,434,IGREJINHA,S,0,,1,Internacional,X,3,,,1992-05-20,0,2025-08-12,Perin,Vitória,,3,0
10361,AMISTOSO,Amistoso,Amistoso,,,509,BR,SAPIRANGA,,504,SAPIRANGA,S,1,,1,Internacional,X,3,,,1992-05-23,0,2025-08-12,Perin,Vitória,,3,1
10362,1992_BR,Brasileirão 1992,Brasileirão,,,1,BR,Estádio Beira-Rio,,1,Internacional,X,0,,23,Sport Recife,M,0,,,1992-05-24,0,2025-08-12,Perin,Empate,,0,0
10363,1992_BR,Brasileirão 1992,Brasileirão,,,75,BR,Estádio Jornalista Mário Filho,,5,Flamengo,X,2,,1,Internacional,X,0,,,1992-05-31,0,2025-08-12,Perin,Derrota,,0,2
10364,AMISTOSO,Amistoso,Amistoso,,,533,BR,VERA CRUZ DO SUL,,509,SELEÇÃO AMADORA DE VERA CRUZ,S,1,,1,Internacional,X,7,,,1992-06-07,0,2025-08-12,Perin,Vitória,,7,1
10365,AMISTOSO,Amistoso,Amistoso,,,267,BR,CARAZINHO,,201,ATLÉTICO DE CARAZINHO,S,0,,1,Internacional,X,4,,,1992-06-28,0,2025-08-12,Perin,Vitória,,4,0
