id,idChampionship,name,generalName,idRound,round,idStadium,stadium_country,stadium,attendance,idTeamHome,teamHome,teamHomeSize,scoreTeamHome,penaltiesScoreTeamHome,idTeamAway,teamAway,teamAwaySize,scoreTeamAway,penaltiesScoreTeamAway,hasPenalties,gameDate,gameCanceled,createddate,source,resultado,resultadoPenalties
97,2011_BR,Brasileirão 2011,Brasileirão,10,10,160,BR,Estádio São Januário,12817,18,Vasco da Gama,M,2,,203,Atlético-PR,S,1,,,2011-07-16,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
98,2011_BR,Brasileirão 2011,Brasileirão,11,11,64,BR,Estádio Governador Magalhães Pinto,16100,8,Atlético-MG,X,1,,18,Vasco da Gama,M,2,,,2011-07-24,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Visitante,
99,2011_BR,Brasileirão 2011,Brasileirão,12,12,160,BR,Estádio São Januário,18873,18,Vasco da Gama,M,1,,15,EC Bahia,M,1,,,2011-07-28,0,2025-08-12,Transfermarket/basedosdados.org-BR,Empate,
100,2011_BR,Brasileirão 2011,Brasileirão,14,14,157,BR,Estádio Serra Dourada,3050,22,Atlético-GO,M,0,,203,Atlético-PR,S,3,,,2011-08-04,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Visitante,
101,2011_BR,Brasileirão 2011,Brasileirão,15,15,1,BR,Estádio Beira-Rio,14117,1,Internacional,X,3,,13,Cruzeiro,X,2,,,2011-08-07,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Casa,
102,2011_BR,Brasileirão 2011,Brasileirão,16,16,144,BR,Estádio Orlando Scarpelli,18265,31,Figueirense FC,M,2,,5,Flamengo,X,2,,,2011-08-14,0,2025-08-12,Transfermarket/basedosdados.org-BR,Empate,
103,2011_BR,Brasileirão 2011,Brasileirão,17,17,23,BR,Estádio Aderbal Ramos da Silva,6179,27,Avaí FC,M,0,,18,Vasco da Gama,M,2,,,2011-08-17,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Visitante,
104,2011_BR,Brasileirão 2011,Brasileirão,18,18,121,BR,Estádio Municipal Paulo Machado de Carvalho,26256,14,Corinthians,X,0,,31,Figueirense FC,M,2,,,2011-08-20,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Visitante,
105,2011_BR,Brasileirão 2011,Brasileirão,19,19,144,BR,Estádio Orlando Scarpelli,17620,31,Figueirense FC,M,2,,27,Avaí FC,M,3,,,2011-08-28,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Visitante,
106,2011_BR,Brasileirão 2011,Brasileirão,21,21,144,BR,Estádio Orlando Scarpelli,12263,31,Figueirense FC,M,1,,11,São Paulo,X,2,,,2011-09-03,0,2025-08-12,Transfermarket/basedosdados.org-BR,Vitória Time Visitante,
